longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.23,37.88,0.7843137254901961,880.0,129.0,0.008940833543541018,126.0,0.5396684183666434,0.9022663824066706
-122.22,37.86,0.39215686274509803,7099.0,1106.0,0.06721040387903249,1138.0,0.5380270616957008,0.7082465639316952
-122.24,37.85,0.9999999999999999,1467.0,190.0,0.013817651840017937,177.0,0.4660280547854513,0.6950507420587957
-122.25,37.85,0.9999999999999999,1274.0,235.0,0.015555368704279829,219.0,0.35469855588198784,0.6727827926482778
-122.25,37.85,0.9999999999999999,1627.0,280.0,0.015751562543793268,259.0,0.2307761272258314,0.6746384550991543
-122.25,37.85,0.9999999999999999,919.0,213.0,0.01149135345721573,193.0,0.24392077350657237,0.5251545354452147
-122.25,37.84,0.9999999999999999,2535.0,489.0,0.030578211272737466,514.0,0.21787285692611136,0.5859790268906108
-122.25,37.84,0.9999999999999999,3104.0,687.0,0.03234395582835842,647.0,0.18069405939228428,0.46680426060098723
-122.26,37.84,0.8039215686274509,2555.0,665.0,0.03371731270495249,595.0,0.10899849657246109,0.4364951072366712
-122.25,37.84,0.9999999999999999,3549.0,707.0,0.043386866223829146,714.0,0.22008661949490355,0.507422649803506
-122.26,37.85,0.9999999999999999,2202.0,434.0,0.02542111606266992,402.0,0.18642501482738172,0.5494843320233731
-122.26,37.85,0.9999999999999999,3503.0,752.0,0.04206956472995319,734.0,0.1910732265761852,0.4676289994680434
-122.26,37.85,0.9999999999999999,2491.0,474.0,0.030690322038173717,468.0,0.1775906539220149,0.409278724623816
-122.26,37.84,0.9999999999999999,696.0,191.0,0.009585470444799462,174.0,0.14990827712721205,0.36350571750219585
-122.26,37.85,0.9999999999999999,2643.0,626.0,0.033885478853106867,620.0,0.09770899711728116,0.29732042342093434
-122.26,37.85,0.9607843137254901,1120.0,283.0,0.019451217803189553,264.0,0.11207431621632806,0.2577329578022359
-122.27,37.85,0.9999999999999999,1966.0,347.0,0.022141876173659574,331.0,0.15690128412021903,0.2835060473977427
-122.27,37.85,0.9999999999999999,1228.0,293.0,0.018077860926595475,303.0,0.11174328629949933,0.2896915889006643
-122.26,37.84,0.9607843137254901,2239.0,455.0,0.02766333137139494,419.0,0.10283996082812653,0.29628949983711406
-122.27,37.84,0.9999999999999999,1503.0,298.0,0.01925502396367611,275.0,0.14506006813699124,0.30494925794120437
-122.27,37.85,0.7647058823529411,751.0,184.0,0.011379242691779479,166.0,0.059164701176535495,0.27319681155953995
-122.27,37.85,0.8039215686274509,1639.0,367.0,0.02595364219849211,366.0,0.08369539730486478,0.29855753172151867
-122.27,37.84,0.9999999999999999,2436.0,541.0,0.028364023655371506,478.0,0.08448848981393361,0.20391874672681762
-122.27,37.84,0.9999999999999999,1688.0,337.0,0.023823537655203342,325.0,0.11590874608626091,0.17464051694632188
-122.27,37.84,0.9999999999999999,2224.0,437.0,0.028111774433139943,422.0,0.14483248506917146,0.24247528876169583
-122.28,37.85,0.7843137254901961,535.0,123.0,0.008800695086745705,119.0,0.131301637218797,0.19072292485391812
-122.28,37.85,0.9411764705882353,1130.0,244.0,0.016928725580873903,239.0,0.13515675645853165,0.16247561865724264
-122.28,37.85,0.9999999999999999,1898.0,421.0,0.030802432803609968,397.0,0.09021254879243046,0.18659923051863703
-122.28,37.84,0.9607843137254901,2082.0,492.0,0.03161523585302278,473.0,0.07879201666183916,0.1936095108886149
-122.28,37.84,0.9999999999999999,729.0,160.0,0.0109868550127526,155.0,0.08190231858870912,0.2412381804611115
-122.28,37.84,0.9411764705882353,1916.0,447.0,0.024103814568793968,378.0,0.0984469179735452,0.2212382629349982
-122.28,37.84,0.9999999999999999,2153.0,481.0,0.03265226043330811,441.0,0.10079860967434932,0.20659914804475032
-122.27,37.84,0.9215686274509803,1922.0,409.0,0.028672328260321196,335.0,0.08944704210976401,0.1967022816400757
-122.27,37.83,0.9411764705882353,1655.0,366.0,0.02104879621065613,329.0,0.06035089171183847,0.1853621222180527
-122.27,37.83,0.9803921568627451,2665.0,574.0,0.03517475265562375,536.0,0.15381856801975147,0.19525898862272734
-122.27,37.83,0.9411764705882353,1215.0,282.0,0.015891701000588582,264.0,0.06801285499510352,0.1694858990272205
-122.27,37.83,0.9215686274509803,1798.0,432.0,0.02757924829731775,374.0,0.041192535275375516,0.18453738335099648
-122.28,37.83,0.9999999999999999,1511.0,390.0,0.025168866840438352,403.0,0.06278534089184978,0.18330027505041216
-122.26,37.83,0.9999999999999999,1470.0,330.0,0.01922699627231705,309.0,0.20552130315443928,0.36371190221895994
-122.26,37.83,0.9999999999999999,2432.0,715.0,0.03851004792735222,696.0,0.1441290464959104,0.3319594558372955
-122.26,37.83,0.9999999999999999,1665.0,419.0,0.026430112951596176,395.0,0.11019848002096523,0.2894854041839003
-122.26,37.83,0.9803921568627451,936.0,311.0,0.014406233358558255,249.0,0.054157873684500896,0.27835142947864133
-122.26,37.84,0.9411764705882353,713.0,202.0,0.012864710333809804,189.0,0.036213293609743305,0.21402179784825628
-122.26,37.84,0.9999999999999999,950.0,202.0,0.013004848790605119,198.0,0.23892084247113837,0.3583510995830945
-122.26,37.83,0.9999999999999999,1443.0,311.0,0.01841419322290423,292.0,0.17328036854664075,0.3492789720454761
-122.26,37.83,0.9999999999999999,1656.0,420.0,0.02003979932172987,382.0,0.1501289637384312,0.34494909299343096
-122.26,37.83,0.9607843137254901,1125.0,322.0,0.01718097480310547,304.0,0.10524682418173543,0.26288757572133725
